City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,24.07,58,90,9.48,ZA,1733484711
1,port lincoln,-34.7333,135.8667,21.07,82,57,1.69,AU,1733484712
2,port-aux-francais,-49.35,70.2167,4.6,76,51,15.01,TF,1733484713
3,ta`u,-14.2336,-169.5144,27.69,81,100,6.77,AS,1733484714
4,blackmans bay,-43.0167,147.3167,15.07,86,85,2.2,AU,1733484715
5,sligo,54.2697,-8.4694,4.96,87,100,5.14,IE,1733484716
6,san-pedro,4.7485,-6.6363,30.74,56,25,2.59,CI,1733484717
7,sosnytsya,51.5239,32.4999,-0.27,94,100,4.7,UA,1733484718
8,sinop,41.7711,34.8709,7.29,72,27,4.26,TR,1733484617
9,ushuaia,-54.8,-68.3,4.81,87,75,9.26,AR,1733484707
10,turpan,42.9333,89.1667,1.25,66,0,0.56,CN,1733484722
11,chonchi,-42.6128,-73.8092,10.62,76,99,1.38,CL,1733484723
12,khovd,48.0056,91.6419,-11.86,79,8,0.75,MN,1733484724
13,malanje,-9.5402,16.341,27.94,56,54,0.98,AO,1733484725
14,ilulissat,69.2167,-51.1,-12.99,52,40,4.12,GL,1733484726
15,iqaluit,63.7506,-68.5145,-12.15,60,0,5.66,CA,1733484612
16,sao lourenco do sul,-31.3653,-51.9783,23.62,80,92,4.1,BR,1733484728
17,albany,42.6001,-73.9662,-4.77,67,39,1.79,US,1733484729
18,waitangi,-43.9535,-176.5597,11.01,94,66,1.34,NZ,1733484730
19,balabac,7.9868,117.0645,27.14,78,97,1.58,PH,1733484731
20,codrington,-38.2667,141.9667,18.32,86,83,4.99,AU,1733484733
21,west island,-12.1568,96.8225,27.24,74,100,10.33,CC,1733484734
22,east london,-33.0153,27.9116,24.52,57,0,4.12,ZA,1733484735
23,bethel,41.3712,-73.414,-1.36,63,16,1.79,US,1733484592
24,adamstown,-25.066,-130.1015,22.73,81,93,8.45,PN,1733484737
25,gunjur,13.2019,-16.7339,26.04,25,0,6.69,GM,1733484739
26,ust-nera,64.5667,143.2,-28.16,99,81,1.03,RU,1733484740
27,edinburgh of the seven seas,-37.0676,-12.3116,15.63,83,13,13.51,SH,1733484743
28,vikhorevka,56.1201,101.1636,-7.11,94,97,2.52,RU,1733484744
29,anadyr,64.75,177.4833,-25.56,83,0,5.0,RU,1733484745
30,taro,-8.3862,115.28,20.65,100,100,0.55,ID,1733484746
31,hawaiian paradise park,19.5933,-154.9731,19.73,77,0,2.57,US,1733484747
32,kayangel,8.0823,134.7173,29.06,77,100,7.25,PW,1733484748
33,horta,38.5333,-28.6333,18.9,94,75,3.09,PT,1733484749
34,fuyang,32.9,115.8167,9.57,39,100,2.48,CN,1733484750
35,carnarvon,-24.8667,113.6333,22.74,73,0,11.18,AU,1733484752
36,usogorsk,63.4106,48.6872,-9.72,94,100,3.21,RU,1733484753
37,thohoyandou,-22.9456,30.485,39.87,16,11,2.75,ZA,1733484619
38,huarmey,-10.0681,-78.1522,19.08,90,90,1.93,PE,1733484755
39,porbandar,21.6422,69.6093,28.65,35,88,4.81,IN,1733484756
40,avarua,-21.2078,-159.775,22.03,94,84,1.03,CK,1733484757
41,potam,27.6,-110.3833,16.08,29,0,2.05,MX,1733484759
42,yellowknife,62.456,-114.3525,-10.88,99,100,5.14,CA,1733484760
43,nuku'alofa,-21.1333,-175.2,25.19,94,75,3.09,TO,1733484761
44,argungu,12.7433,4.5269,30.79,10,89,6.11,NG,1733484762
45,qaqortoq,60.7167,-46.0333,-17.41,78,1,3.73,GL,1733484763
46,praia da vitoria,38.7333,-27.0667,19.14,82,40,3.28,PT,1733484764
47,kralendijk,12.15,-68.2667,25.99,83,40,4.12,BQ,1733484766
48,namibe,-15.1961,12.1522,26.86,67,45,5.44,AO,1733484767
49,nova sintra,14.8667,-24.7167,26.78,66,18,3.41,CV,1733484768
50,invercargill,-46.4,168.35,13.34,96,100,2.68,NZ,1733484769
51,port mathurin,-19.6833,63.4167,25.01,77,86,7.98,MU,1733484770
52,tromso,69.6496,18.957,0.01,64,0,4.63,NO,1733484771
53,guerrero negro,27.9769,-114.0611,14.26,89,0,3.67,MX,1733484772
54,weyburn,49.6668,-103.8511,-6.88,100,46,2.06,CA,1733484595
55,staryye ozinki,51.1786,49.6769,-4.53,61,9,3.93,RU,1733484774
56,tura,25.5198,90.2201,16.02,74,6,1.02,IN,1733484775
57,necochea,-38.5473,-58.7368,14.79,91,98,4.48,AR,1733484776
58,beyneu,45.3167,55.2,1.18,66,5,2.84,KZ,1733484777
59,dwarka,22.2394,68.9678,26.47,44,70,4.47,IN,1733484778
60,puerto ayora,-0.7393,-90.3518,21.42,95,70,2.86,EC,1733484780
61,kodiak,57.79,-152.4072,5.73,87,100,8.75,US,1733484781
62,grytviken,-54.2811,-36.5092,0.4,66,96,2.91,GS,1733484782
63,bomdila,27.25,92.4,0.69,94,99,0.7,IN,1733484783
64,ambon,-3.6954,128.1814,27.71,100,98,1.5,ID,1733484784
65,port saint john's,-31.6229,29.5448,25.01,69,87,4.14,ZA,1733484786
66,whitehorse,60.7161,-135.0538,2.79,87,100,6.71,CA,1733484787
67,wailua homesteads,22.0669,-159.378,20.44,95,40,5.66,US,1733484788
68,olonkinbyen,70.9221,-8.7187,-1.92,98,100,12.66,SJ,1733484790
69,acapulco de juarez,16.8634,-99.8901,23.9,88,0,2.06,MX,1733484791
70,puerto natales,-51.7236,-72.4875,7.25,65,0,2.06,CL,1733484792
71,sitka,57.0531,-135.33,7.94,87,100,3.09,US,1733484793
72,amga,60.8953,131.9608,-28.08,100,100,1.25,RU,1733484794
73,alofi,-19.0595,-169.9187,22.94,88,100,1.54,NU,1733484795
74,kununurra,-15.7667,128.7333,26.99,94,20,1.54,AU,1733484598
75,kasese,0.1833,30.0833,26.4,60,79,1.1,UG,1733484797
76,saipan,15.1355,145.701,29.39,86,40,5.14,MP,1733484511
77,talnakh,69.4865,88.3972,-18.09,99,99,1.86,RU,1733484801
78,constantia,44.1833,28.65,9.38,76,99,7.98,RO,1733484802
79,gagarin,55.5529,34.9954,-5.19,90,100,4.96,RU,1733484803
80,susuman,62.7833,148.1667,-23.22,100,100,0.68,RU,1733484804
81,vorgashor,67.5833,63.95,-9.56,94,99,3.6,RU,1733484805
82,ternate,0.8,127.4,26.86,86,92,5.0,ID,1733484806
83,saint-philippe,-21.3585,55.7679,24.73,79,37,4.78,RE,1733484807
84,ribeira grande,38.5167,-28.7,19.32,88,75,3.09,PT,1733484808
85,alta,69.9689,23.2717,0.59,76,0,5.66,NO,1733484809
86,erzincan,39.75,39.5,-1.39,74,20,0.51,TR,1733484626
87,punta arenas,-53.15,-70.9167,7.06,61,40,8.75,CL,1733484576
88,glace bay,46.1969,-59.957,1.76,84,40,5.36,CA,1733484814
89,tiksi,71.6872,128.8694,-26.26,98,76,3.03,RU,1733484815
90,bilibino,68.0546,166.4372,-24.36,94,5,1.62,RU,1733484816
91,tazovsky,67.4667,78.7,-18.5,100,95,3.6,RU,1733484817
92,udachny,66.4167,112.4,-9.53,93,100,7.4,RU,1733484818
93,hashtrud,37.4779,47.0508,6.66,28,1,0.71,IR,1733484819
94,klyuchi,52.2667,79.1667,-7.81,92,100,2.91,RU,1733484820
95,monte real,39.8521,-8.8635,17.29,77,75,3.6,PT,1733484822
96,shadrinsk,56.0852,63.6335,-8.85,91,7,3.51,RU,1733484823
97,buala,-8.145,159.5921,27.31,78,100,2.19,SB,1733484824
98,nuuk,64.1835,-51.7216,-6.66,79,75,4.63,GL,1733484825
99,papatowai,-46.5619,169.4708,12.92,94,100,2.94,NZ,1733484826
100,newman,37.3138,-121.0208,9.98,66,0,0.77,US,1733484827
101,pont rouge,48.8833,-72.0825,-11.29,72,89,9.2,CA,1733484828
102,murghob,38.1702,73.9667,-16.19,52,0,2.14,TJ,1733484829
103,lompoc,34.6391,-120.4579,9.4,92,0,3.09,US,1733484830
104,weno,7.4515,151.8468,28.97,79,75,3.09,FM,1733484831
105,rongelap,11.1635,166.8941,28.1,83,8,11.32,MH,1733484833
106,cooma,-36.2333,149.1333,17.84,97,86,0.87,AU,1733484834
107,berbera,10.4396,45.0143,28.04,56,7,6.48,SO,1733484836
108,san patricio,28.017,-97.5169,13.97,60,100,6.24,US,1733484838
109,margaret river,-33.95,115.0667,14.73,64,0,7.87,AU,1733484839
110,college,64.8569,-147.8028,-7.01,86,100,0.0,US,1733484840
111,st. john's,47.5649,-52.7093,8.64,96,100,19.03,CA,1733484841
112,baracoa,20.3467,-74.4958,24.45,92,100,3.0,CU,1733484844
113,sinabang,2.4803,96.3801,26.28,83,90,1.62,ID,1733484845
114,karatas,36.582,35.3701,18.22,51,56,8.43,TR,1733484846
115,taltal,-25.4,-70.4833,18.07,72,24,1.5,CL,1733484847
116,mukalla,14.5425,49.1242,26.6,45,0,2.45,YE,1733484832
117,colonia,50.9333,6.95,8.36,84,100,10.8,DE,1733484794
118,isafjordur,66.0755,-23.124,-6.21,90,100,7.28,IS,1733484804
119,igarka,67.4667,86.5833,-18.88,98,86,2.68,RU,1733484851
120,berdigestyakh,62.0989,126.6992,-25.5,100,89,1.38,RU,1733484852
121,northam,51.0333,-4.2167,9.51,77,82,5.92,GB,1733484853
122,happy valley-goose bay,53.3168,-60.3315,-2.83,93,100,12.86,CA,1733484854
123,georgetown,5.4112,100.3354,30.96,68,20,2.06,MY,1733484855
124,jaicos,-7.3592,-41.1378,29.29,46,39,2.41,BR,1733484856
125,novodvinsk,64.4165,40.8122,-7.14,87,21,3.49,RU,1733484858
126,utrik,11.2278,169.8474,27.51,82,12,11.5,MH,1733484859
127,kidal,18.4411,1.4078,25.94,11,90,8.97,ML,1733484860
128,saurimo,-9.6608,20.3916,28.9,49,17,1.98,AO,1733484861
129,remire-montjoly,4.9167,-52.2667,28.02,78,20,3.6,GF,1733484862
130,stanley,54.868,-1.6985,6.4,79,20,5.66,GB,1733484863
131,tibati,6.4667,12.6333,32.75,18,20,2.86,CM,1733484864
132,saint-joseph,-21.3667,55.6167,28.21,79,39,3.88,RE,1733484865
133,zaragoza,41.6561,-0.8773,19.25,57,40,8.23,ES,1733484868
134,orizona,-17.0314,-48.2958,24.11,66,82,3.66,BR,1733484869
135,san antonio de pale,-1.4014,5.6325,26.56,82,61,5.15,GQ,1733484870
136,lihue,21.9789,-159.3672,20.77,88,40,5.66,US,1733484871
137,colac,-38.3333,143.5833,16.89,97,100,5.28,AU,1733484872
138,hermanus,-34.4187,19.2345,21.56,73,83,7.06,ZA,1733484874
139,agat village,13.3886,144.6585,28.53,88,20,4.63,GU,1733484875
140,nouadhibou,20.931,-17.0347,23.99,38,100,5.14,MR,1733484876
141,pangai,-19.8,-174.35,25.96,85,100,6.11,TO,1733484877
142,opuwo,-18.0607,13.84,35.19,9,36,0.93,NA,1733484878
143,port alfred,-33.5906,26.891,26.77,54,44,4.92,ZA,1733484880
144,al bayda',32.7627,21.7551,15.65,39,6,6.56,LY,1733484881
145,dhidhdhoo,6.8833,73.1,27.05,66,30,0.89,MV,1733484882
146,barra de santo antonio,-9.4047,-35.5072,27.13,67,87,4.18,BR,1733484883
147,keflavik,64.0049,-22.5624,-2.76,86,20,3.09,IS,1733484884
148,sabang,5.8933,95.3214,26.1,85,81,4.68,ID,1733484885
149,singaraja,-8.112,115.0882,25.92,95,100,3.95,ID,1733484886
150,crane,31.3974,-102.3501,7.69,53,100,5.69,US,1733484887
151,goundam,16.4145,-3.6708,27.76,12,69,8.29,ML,1733484888
152,pushkinskiye gory,57.0209,28.9103,-1.05,72,100,3.99,RU,1733484889
153,steszew,52.2837,16.7009,2.37,95,75,5.14,PL,1733484891
154,sosnovo-ozerskoye,52.5249,111.5418,-21.16,99,52,3.67,RU,1733484892
155,huayin,34.5675,110.0921,6.3,39,17,2.5,CN,1733484893
156,rocky mountain house,52.3668,-114.9188,-7.94,100,65,1.03,CA,1733484605
157,kailua-kona,19.6406,-155.9956,22.98,68,0,1.54,US,1733484895
158,carnaiba,-8.7,-37.6667,28.87,42,86,5.65,BR,1733484829
159,marsabit,2.3284,37.9899,25.76,35,96,5.16,KE,1733484897
160,isangel,-19.55,169.2667,25.14,87,99,4.57,VU,1733484898
161,cabo san lucas,22.8909,-109.9124,19.31,68,58,3.36,MX,1733484605
162,borovskoy,53.8,64.15,-9.23,94,98,4.87,KZ,1733484900
163,uturoa,-16.7333,-151.4333,27.41,75,96,6.76,PF,1733484901
164,vernon,50.2581,-119.2691,1.36,77,79,2.57,CA,1733484902
165,nitro,38.4148,-81.844,-4.98,71,4,2.17,US,1733484904
166,puntarenas,9.9763,-84.8384,23.8,84,34,1.25,CR,1733484905
167,enewetak,11.3474,162.3373,28.38,80,84,10.4,MH,1733484906
168,grivenskaya,45.6473,38.176,8.14,74,98,1.85,RU,1733484907
